title,status,image,chCount,vCount,rating,synopsis,genre
Dragon Ball,Finished,https://media.kitsu.io/manga/poster_images/111/large.jpg?1435698832,520,42,83.23,"Dragon Ball follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe.
Part II of Dragon Ball is also known as 'Dragon Ball Z' in North America.
Volumes 17-42 were published in North America under the name Dragon Ball Z.
(Source: Wikipedia)","['comedy', 'sci-fi', 'martial-arts', 'super-power', 'action', 'adventure']"
Shokugeki no Souma,Finished,https://media.kitsu.io/manga/poster_images/1554/large.jpg?1541846027,318,36,83.21,"Soma Yukihira's old man runs a small family restaurant in the less savory end of town. Aiming to one day surpass his father's culinary prowess, Soma hones his skills day in and day out until one day, out of the blue, his father decides to enroll Soma in a classy culinary school!

Can Soma really cut it in a place that prides itself on a 10 percent graduation rate? And can he convince the beautiful, domineering heiress to the school that he belongs there at all?!

(Source: VIZ Books)

Note: The 3 chapter Le dessert epilogue is counted as chapters 316-318","['comedy', 'school', 'ecchi', 'food']"
Horimiya,Finished,https://media.kitsu.io/manga/poster_images/22352/large.jpg?1494722286,,16,83.2,"Hori may seem like a normal teenage girl, but she's a completely different person after school. In her workaholic parents' absence, Hori has been like a parent for her little brother since she was young herself. Between taking care of her brother, feeding them both, and housework, she doesn't have much time for a usual teenage social life. One day, she meets someone else who does not present his true self at school: a quiet, glasses-wearing boy called Miyamura. She'd assumed he was bookish, and possibly an otaku, but Hori couldn't have been more wrong. Outside of school, Miyamura is a friendly guy with many piercings, and he's not very good at academics. Now the two of them have someone with whom they can share both halves of their lives!

(Source: MangaHelpers)","['comedy', 'school', 'slice-of-life', 'romance']"
Kaichou wa Maid-sama!,Finished,https://media.kitsu.io/manga/poster_images/6182/large.jpg?1434262656,98,18,83.19,"The class president has a little secret she's keeping from everyone in her high school. As President of the Student Council, the overachieving feminist Misaki really socks it to the guys in an attempt to make the former all-boys' school attract a more female student body. But what will she do when the most awesome boy in class finds out Misaki's part-time job is in a maid café?! It's love at first fight in this shojo romantic comedy—with a whole new look at the battle between the genres!

(Source: Tokyopop)","['comedy', 'school', 'romance']"
Tian Guan Ci Fu,Ongoing,https://media.kitsu.io/manga/poster_images/56506/large.jpg?1592155346,,,83.12,"Eight hundred years ago, Xie Lian was the Crown Prince of the Xian Le kingdom; one who was beloved by his citizens and the darling of the world. Unsurprisingly, he ascended to the Heavens at a very young age.

Now, eight hundred years later, Xie Lian ascends to the Heavens for the third time as the laughing stock of all three realms. On his first task as a god, he meets a mysterious demon who rules the ghosts and terrifies the Heavens… Yet unbeknownst to Xie Lian, this demon king has been paying attention to him for a very, very long time.

(Source: Tian Guan Ci Fu Wiki)",['none']
Given,Ongoing,https://media.kitsu.io/manga/poster_images/27324/large.jpg?1604009555,,,83.11,"Ritsuka Uenoyama is bored with it all—with school, with his basketball club, and even with his one true passion: playing guitar. That is, until the day he finds his favorite hidden napping spot occupied by a strange boy cradling a broken-stringed guitar. At first, Uenoyama is nonplussed by Mafuyu Sato and his slightly odd behavior, but when, on a whim, he asks Mafuyu to sing, the power of that song pierces him to the core. (Source: SuBLime)","['yaoi', 'drama', 'romance']"
No Game No Life,Ongoing,https://media.kitsu.io/manga/poster_images/5927/large.jpg?1537884041,,0,83.05,"Meet Sora and Shiro, a brother and sister who are loser shut-ins by normal standards. But these siblings don't play by the rules of the ""crappy game"" that is average society. In the world of gaming, this genius pair reigns supreme, their invincible avatar so famous that it's the stuff of urban legend.

So when a young boy calling himself God summons the siblings to a fantastic alternate world where war is forbidden and all conflicts - even those involving national borders - are decided by the outcome of games, Sora and Shiro have pretty much hit the jackpot. But they soon learn that in this world, humanity, cornered and outnumbered by other species, survives within the confines of one city. Will Sora and Shiro, two failures at life, turn out to be the saviors of mankind? Let the games begin...!

(Source: Yen Press)","['comedy', 'supernatural', 'fantasy', 'ecchi', 'adventure']"
Fairy Tail,Ongoing,https://media.kitsu.io/manga/poster_images/26168/large.jpg?1434306512,,,82.98,"Volume 1. Kokoro ni Yadoru Color (The Color Residing Within the Heart)
Volume 2. Dai Matou Enbu Sonogo, Sorezore no 1-nichi (After the Grand Magic Games, Each Individual Day)","['comedy', 'magic', 'fantasy', 'action', 'adventure']"
Remarried Empress,Ongoing,https://media.kitsu.io/manga/poster_images/55733/large.jpg?1577562996,,,82.94,"Navier was the perfect empress, however, the Emperor wanted a wife, not a colleague. And so, the Emperor abandoned Empress Navier and placed a slave girl beside him. That was fine, until Navier heard the Emperor promise the slave girl the Empress’ position. After much agonizing, Navier decided she would remarry the emperor of the neighboring country.

(Source: NovelUpdates)",['none']
Dr. Stone,Ongoing,https://media.kitsu.io/manga/poster_images/38860/large.jpg?1597699338,,,82.92,"One day Ooki Taiju builds his courage to confesses to Yuzuriha, the girl he loves, when the sky is filled with a strange light. Everyone touched by that light is turned to stone. After thousands of years trapped in stone, he breaks out of his shell and starts to explore the world until he finds his old friend Senku, who was freed from his stone state half a year ago.

Taiju and Senku decide to team up and bring back the now lost human civilization, starting by investigating the true nature of the light that turned them all to stone thousands of years ago and how to fix the situation.

(Source: MU)","['sci-fi', 'adventure']"
Kamisama Hajimemashita,Finished,https://media.kitsu.io/manga/poster_images/16640/large.jpg?1491378382,154,25,82.92,"Nanami Momozono is alone and homeless after her dad skips town to evade his gambling debts and the debt collectors kick her out of her apartment.  So when a man she's just saved from a dog offers her his home, she jumps at the opportunity. But it turns out that his place is a shrine, and Nanami has unwittingly taken over his job as a local deity!

Nanami has all kinda of new responsibilities she doesn't understand, dangers she's unaware of, and a cranky ex-familiar who's...actually pretty hot. What's a new-fledged godling to do?

(Source: VIZ Media)","['comedy', 'supernatural', 'demons', 'fantasy', 'romance']"
Noragami,Ongoing,https://media.kitsu.io/manga/poster_images/17204/large.jpg?1537882801,,,82.92,"Yato is a homeless god. He doesn't even have a shrine, not to mention worshippers! So to achieve his ambitious goals, he's set up a service to help those in need (for a small fee), hoping he'll eventually raise enough money to build himself the lavish temple of his dreams. Of course, he can't afford to be picky, so Yato accepts all kinds of jobs, from finding lost kittens to helping a student overcome bullies at school.

(Source: Kodansha Comics)","['supernatural', 'fantasy', 'romance', 'action']"
Mob Psycho 100,Finished,https://media.kitsu.io/manga/poster_images/25358/large.jpg?1500790907,101,16,82.91,"Kageyama Shigeo (a.k.a. ""Mob"") is a 8th grader with psychic abilities. He could bend spoons and lift objects with his mind from a young age, but he slowly began to withhold from using his abilities in public due to the negative attention he kept receiving. Now, the only thing he wants is to become friends with a girl in his class, Tsubomi. With his psychic ""mentor"" (who has no psychic powers), he continues his daily life, attempting to realize his purpose in life. 

(Source: MangaHelpers)","['comedy', 'supernatural', 'slice-of-life', 'action']"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Ongoing,https://media.kitsu.io/manga/poster_images/36430/large.jpg?1559136030,,0,82.91,"Koudo Ikusei Senior High School is a leading prestigious school with state-of-the-art facilities where nearly 100% of students go on to university or find employment. The students there have the freedom to wear any hairstyle and bring any personal effects they desire. Koudo Ikusei is a paradise-like school, but the truth is that only the most superior of students receive favorable treatment.Ayanokouji Kiyotaka is a student of D-class, which is where the school dumps its “inferior” students in order to ridicule them. For a certain reason, Kiyotaka was careless on his entrance examination, and was put in D-class. After meeting Horikita Suzune and Kushida Kikyou, two other students in his class, Kiyotaka’s situation begins to change.(Source: ANN)","['comedy', 'psychological', 'school', 'slice-of-life', 'drama', 'romance']"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Ongoing,https://media.kitsu.io/manga/poster_images/35896/large.jpg?1494629696,,0,82.9,"Two prideful geniuses locked in battle. Who will make the first misstep and in doing so…confess their love?

Kaguya Shinomiya and Miyuki Shirogane are two geniuses who stand atop their prestigious academy's student council, making them the elite among elite. But it's lonely at the top and each has fallen for the other. There's just one huge problem standing in the way of lovey-dovey bliss—they're both too prideful to be the first to confess their romantic feelings and thus become the “loser” in the competition of love! And so begins their daily schemes to force the other to confess first!

(Source: Viz Media)","['comedy', 'psychological', 'school', 'romance']"
Cherry Blossoms After Winter,Ongoing,https://media.kitsu.io/manga/poster_images/40349/large.jpg?1510986466,,,82.9,"From living under the same roof to then being classmates?!

Ever since his parents passed away, Haebom has been living in Taesung’s house. And now, being a 12th grader, he enters the same class as Taesung, which makes the whole situation way more awkward. Living together 24/7, Taesung and Haebom's relationship is bound to change.

(Source: MU)",['none']
Saiki Kusuo no Ψ-nan,Finished,https://media.kitsu.io/manga/poster_images/16605/large.jpg?1491097604,279,25,82.9,"Saiki Kusuo has a wide array of superpowers at his command, including telepathy and telekinesis. This might sound awesome, but, in Kusuo's experience, superpowers are not all they're cracked up to be. He tries to live a normal life, despite his annoying abilities.","['comedy', 'supernatural']"
Omniscient Reader's Point of View,Ongoing,https://media.kitsu.io/manga/poster_images/56452/large.jpg?1591376694,,,82.88,"‘This is a development that I know of.’ The moment he thought that, the world had been destroyed, and a new universe had unfolded. The new life of an ordinary reader begins within the world of the novel, a novel that he alone had finished.

(Source: MU)",['none']
