title,status,image,chCount,vCount,rating,userCount,synopsis,genre
Jibaku Shounen Hanako-kun,ongoing,https://media.kitsu.io/manga/poster_images/40121/large.jpg?1505957669,,,84.23,9736,"""Hanako-san, Hanako-san...are you there?"" At Kamome Academy, rumors abound about the school's Seven Mysteries, one of which is Hanako-san. Said to occupy the third stall of the third floor girls' bathroom in the old school building, Hanako-san grants any wish when summoned. Nene Yashiro, an occult-loving high school girl who dreams of romance, ventures into this haunted bathroom...but the Hanako-san she meets there is nothing like she imagined! Kamome Academy's Hanako-san...is a boy!(Source: Yen Press)","['supernatural', 'school']"
,,,,,,,,
Tokyo Ghoul:re,finished,https://media.kitsu.io/manga/poster_images/26401/large.jpg?1505947669,179,16,84.07,56071,"The Commission of Counter Ghoul is the only organization fighting the Ghoul menace, and they will use every tool at their disposal to protect humanity from its ultimate predator. Their newest weapon in this hidden war is an experimental procedure that implants human investigators with a Ghoul's Kagune, giving them Ghoul powers and abilities. But both the procedure and the newly formed Qs Squad are untested. Will they become heroes… or monsters?

(Source: Viz Media)","['mystery', 'supernatural', 'psychological', 'horror', 'drama', 'action']"
,,,,,,,,
Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden,finished,https://media.kitsu.io/manga/poster_images/57766/large.jpg?1602983114,2,0,84.01,119,"Since ancient times, rumors have abounded of man-eating demons lurking in the woods. Because of this, the local townsfolk never venture outside at night. Legend has it that a demon slayer also roams the night, hunting down these bloodthirsty demons. Set before the events of the main series, this spinoff tells the story of Rengoku Kyoujurou, an energetic young demon hunter, as he takes over his family’s role as the Flame Pillar. (Source: Mangadex)",['none']
,,,,,,,,
Nanatsu no Taizai,finished,https://media.kitsu.io/manga/poster_images/24208/large.jpg?1541845803,346,41,83.99,50267,"When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth - the Sins were framed by the king's guard, the Holy Knights - too late to prevent them from assassinating her father and seizing the throne!

Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real sword! Have the legends of the Sins' strength been exaggerated?

(Source: Kodansha Comics)","['supernatural', 'fantasy', 'action', 'ecchi', 'adventure']"
,,,,,,,,
Fullmetal Alchemist,finished,https://media.kitsu.io/manga/poster_images/66/large.jpg?1490571198,109,27,83.92,38035,"The rules of alchemy state that to gain something, one must lose something of equal value. Alchemy is the process of taking apart and reconstructing an object into a different entity, with the rules of alchemy to govern this procedure. However, there exists an object that can bring any alchemist above these rules, the object known as the Philosopher's Stone. The young Edward Elric is a particularly talented alchemist who through an accident years back lost his younger brother Alphonse and one of his legs. Sacrificing one of his arms as well, he used alchemy to bind his brother's soul to a suit of armor. This lead to the beginning of their journey to restore their bodies, in search for the legendary Philosopher's Stone.","['comedy', 'military', 'drama', 'action', 'adventure']"
,,,,,,,,
Tokyo Ghoul,finished,https://media.kitsu.io/manga/poster_images/26178/large.jpg?1537883877,17,3,83.87,33642,"Explore the world of Tokyo Ghoul with these prose fiction spin-offs!

Ghouls live among us, the same as normal people in every way --except their craving for human flesh.

Ken Kaneki is an ordinary college student until a violent encounter turns him into the first half-human half-ghoul hybrid. Trapped between two worlds, he must survive Ghoul turf wars, learn more about Ghoul society and master his new powers.

Many conflicts and incidents arise involving the clientele of the café Anteiku, where Ghouls gather. Yoshimura, the café's owner, is harboring suspicions about a certain someone. What sort of darkness will that person bring between those who hunt and those who are hunted? This book chronicles six all-new stories from the Tokyo Ghoul universe.

(Source: VIZ Books","['mystery', 'supernatural', 'psychological', 'horror', 'drama', 'action']"
,,,,,,,,
Kuroshitsuji,ongoing,https://media.kitsu.io/manga/poster_images/8549/large.jpg?1434267863,,,83.78,30421,"In Victorian era Europe, a young boy loses everything he once held near and dear to a vicious plot. In his moment of death, he strikes a deal with a demon: his soul, in exchange for revenge. Ciel Phantomhive is now the head of the Phantomhive corporation, handling all business affairs as well as the underground work for the Queen of England. His new partner is a demon butler, Sebastian Michaelis, whose prowess as a butler is only surpassed by his strength as a demon.

The story follows the two along with their other servants, as they work to unravel the plot behind Ciel's parents' murder, and the horrendous tragedies that befell Ciel in the month directly after.","['comedy', 'mystery', 'supernatural', 'historical', 'demons', 'fantasy', 'action']"
,,,,,,,,
Fairy Tail+,finished,https://media.kitsu.io/manga/poster_images/26002/large.jpg?1495602205,3,0,83.71,29860,"This artbook contains 3 side stories that were not included in the main volumes.

1. Mira-sensei no Henshin Mahou Lesson (Mira-Sensei's Transforming Magic Class)
2. Yousei no Izumi e Youkoso! (Welcome to Fairy Fountain)
3. Nagagutsu wo Haita Happy (Happy in Boots)

Also contains ""Fairy Megane"" (crossover one-shot between ""Fairy Tail"" and ""Yankee-kun to Megane-chan"").","['comedy', 'magic', 'fantasy']"
,,,,,,,,
Koe no Katachi,finished,https://media.kitsu.io/manga/poster_images/6157/large.jpg?1456441094,1,0,83.5,17631,"Nishimiya Shouko is a student with hearing impairment. During elementary school, after moving to a new school, Shouko becomes a target of bullying and soon has to transfer. What she did not expect is that some years later, Ishida Shouya, one of the bullies who both did suffer last arise again in your life with a new purpose.","['school', 'drama']"
,,,,,,,,
Berserk,ongoing,https://media.kitsu.io/manga/poster_images/8/large.jpg?1439065896,,0,83.49,29647,"Guts, known as the Black Swordsman, seeks sanctuary from the demonic forces that pursue him and his woman, and also vengeance against the man who branded him as an unholy sacrifice. Aided only by his titanic strength, skill, and sword, Guts must struggle against his bleak destiny, all the while fighting with a rage that might strip him of his humanity. Berserk is a dark and brooding story of outrageous swordplay and ominous fate, in the theme of Shakespeare's Macbeth.

Included one-shot:
Volume 14: Berserk: The Prototype","['supernatural', 'psychological', 'military', 'demons', 'fantasy', 'horror', 'drama', 'action', 'adventure']"
,,,,,,,,
Chainsaw Man,finished,https://media.kitsu.io/manga/poster_images/54139/large.jpg?1555774810,97,11,83.32,4306,"The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers!

(Source: Mangaplus)",['none']
,,,,,,,,
Dragon Ball,finished,https://media.kitsu.io/manga/poster_images/111/large.jpg?1435698832,520,42,83.28,22112,"Dragon Ball follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe.
Part II of Dragon Ball is also known as 'Dragon Ball Z' in North America.
Volumes 17-42 were published in North America under the name Dragon Ball Z.
(Source: Wikipedia)","['comedy', 'sci-fi', 'martial-arts', 'super-power', 'action', 'adventure']"
,,,,,,,,
Kaichou wa Maid-sama!,finished,https://media.kitsu.io/manga/poster_images/6182/large.jpg?1434262656,98,18,83.27,23027,"The class president has a little secret she's keeping from everyone in her high school. As President of the Student Council, the overachieving feminist Misaki really socks it to the guys in an attempt to make the former all-boys' school attract a more female student body. But what will she do when the most awesome boy in class finds out Misaki's part-time job is in a maid café?! It's love at first fight in this shojo romantic comedy—with a whole new look at the battle between the genres!

(Source: Tokyopop)","['comedy', 'school', 'romance']"
,,,,,,,,
Shokugeki no Souma,finished,https://media.kitsu.io/manga/poster_images/1554/large.jpg?1541846027,318,36,83.25,32587,"Soma Yukihira's old man runs a small family restaurant in the less savory end of town. Aiming to one day surpass his father's culinary prowess, Soma hones his skills day in and day out until one day, out of the blue, his father decides to enroll Soma in a classy culinary school!

Can Soma really cut it in a place that prides itself on a 10 percent graduation rate? And can he convince the beautiful, domineering heiress to the school that he belongs there at all?!

(Source: VIZ Books)

Note: The 3 chapter Le dessert epilogue is counted as chapters 316-318","['comedy', 'school', 'ecchi', 'food']"
,,,,,,,,
Horimiya,finished,https://media.kitsu.io/manga/poster_images/22352/large.jpg?1494722286,,16,83.17,23986,"Hori may seem like a normal teenage girl, but she's a completely different person after school. In her workaholic parents' absence, Hori has been like a parent for her little brother since she was young herself. Between taking care of her brother, feeding them both, and housework, she doesn't have much time for a usual teenage social life. One day, she meets someone else who does not present his true self at school: a quiet, glasses-wearing boy called Miyamura. She'd assumed he was bookish, and possibly an otaku, but Hori couldn't have been more wrong. Outside of school, Miyamura is a friendly guy with many piercings, and he's not very good at academics. Now the two of them have someone with whom they can share both halves of their lives!

(Source: MangaHelpers)","['comedy', 'school', 'slice-of-life', 'romance']"
,,,,,,,,
No Game No Life,ongoing,https://media.kitsu.io/manga/poster_images/5927/large.jpg?1537884041,,0,83.11,20017,"Meet Sora and Shiro, a brother and sister who are loser shut-ins by normal standards. But these siblings don't play by the rules of the ""crappy game"" that is average society. In the world of gaming, this genius pair reigns supreme, their invincible avatar so famous that it's the stuff of urban legend.

So when a young boy calling himself God summons the siblings to a fantastic alternate world where war is forbidden and all conflicts - even those involving national borders - are decided by the outcome of games, Sora and Shiro have pretty much hit the jackpot. But they soon learn that in this world, humanity, cornered and outnumbered by other species, survives within the confines of one city. Will Sora and Shiro, two failures at life, turn out to be the saviors of mankind? Let the games begin...!

(Source: Yen Press)","['comedy', 'supernatural', 'fantasy', 'ecchi', 'adventure']"
,,,,,,,,
The Way to Keep an Older Brother of the Heroine Safe,ongoing,https://media.kitsu.io/manga/poster_images/58844/large.jpg?1614525826,,,83.1,0,"I accidentally took possession of someone in a 19+ reverse harem novel. The problem is that I became Roxana Agriche, the older sister of the sub-villain. My damn father kidnapped the heroine's brother. Now, is the only thing left to meet a terrible end from the vengeance of the heroine? But what if I can avoid that horrible development? “I'm also interested in this toy.” ""I'll protect you until you can get out of here safely."" The heroine's brother, Cassis Pedalian, will definitely be able to pay me back later.

(Source: MU)",['none']
,,,,,,,,
The Beginning After the End,ongoing,https://media.kitsu.io/manga/poster_images/54597/large.jpg?1599912625,,,83.05,2979,"King Grey has unrivaled strength, wealth, and prestige in a world governed by martial ability. However, solitude lingers closely behind those with great power. Beneath the glamorous exterior of a powerful king lurks the shell of man, devoid of purpose and will.Reincarnated into a new world filled with magic and monsters, the king has a second chance to relive his life. Correcting the mistakes of his past will not be his only challenge, however. Underneath the peace and prosperity of the new world is an undercurrent threatening to destroy everything he has worked for, questioning his role and reason for being born again.(Source:Mangadex)",['none']
,,,,,,,,
Fairy Tail,ongoing,https://media.kitsu.io/manga/poster_images/26168/large.jpg?1434306512,,,83.04,11309,"Volume 1. Kokoro ni Yadoru Color (The Color Residing Within the Heart)
Volume 2. Dai Matou Enbu Sonogo, Sorezore no 1-nichi (After the Grand Magic Games, Each Individual Day)","['comedy', 'magic', 'fantasy', 'action', 'adventure']"
,,,,,,,,
Given,ongoing,https://media.kitsu.io/manga/poster_images/27324/large.jpg?1604009555,,,83,5737,"Ritsuka Uenoyama is bored with it all—with school, with his basketball club, and even with his one true passion: playing guitar. That is, until the day he finds his favorite hidden napping spot occupied by a strange boy cradling a broken-stringed guitar. At first, Uenoyama is nonplussed by Mafuyu Sato and his slightly odd behavior, but when, on a whim, he asks Mafuyu to sing, the power of that song pierces him to the core. (Source: SuBLime)","['yaoi', 'drama', 'romance']"
,,,,,,,,
Saiki Kusuo no Ψ-nan,finished,https://media.kitsu.io/manga/poster_images/16605/large.jpg?1491097604,279,25,83,1787,"Saiki Kusuo has a wide array of superpowers at his command, including telepathy and telekinesis. This might sound awesome, but, in Kusuo's experience, superpowers are not all they're cracked up to be. He tries to live a normal life, despite his annoying abilities.","['comedy', 'supernatural']"
,,,,,,,,
Noragami,ongoing,https://media.kitsu.io/manga/poster_images/17204/large.jpg?1537882801,,,82.99,26495,"Yato is a homeless god. He doesn't even have a shrine, not to mention worshippers! So to achieve his ambitious goals, he's set up a service to help those in need (for a small fee), hoping he'll eventually raise enough money to build himself the lavish temple of his dreams. Of course, he can't afford to be picky, so Yato accepts all kinds of jobs, from finding lost kittens to helping a student overcome bullies at school.

(Source: Kodansha Comics)","['supernatural', 'fantasy', 'romance', 'action']"
,,,,,,,,
Ao no Exorcist,ongoing,https://media.kitsu.io/manga/poster_images/24155/large.jpg?1443144265,,0,82.96,16172,"This world consists of two dimensions joined as one, like a mirror. The first is the world in which the humans live, Assiah. The other is the world of demons, Gehenna. Ordinarily, travel between the two, and indeed any kind of contact between the two, is impossible. However the demons can pass over into this world by possessing anything that exist within it. Satan the god of demons, but there's one thing that he doesn't have, and that's a substance in the human world that is powerful enough to contain him!! For that purpose he created Rin, his son from a human woman, but will his son agree to his plans? Or will he become something else...? An exorcist?

(Source: MU)","['supernatural', 'school', 'demons', 'fantasy', 'drama', 'action', 'adventure']"
,,,,,,,,
Tokyo卍Revengers,ongoing,https://media.kitsu.io/manga/poster_images/40278/large.jpg?1509309884,,,82.95,931,"Takemichi is a 26-year-old unemployed virgin who learns that the girl he dated in middle school—the only girl he ever dated—has died. Then, after an accident he finds himself in a time leap back to his middle school years. He vows to change the future and save the girl, and to do that he aims to rise to the top of the Kantou region's most brutal delinquent gang.

(Source: MU)","['school', 'drama', 'action']"
,,,,,,,,
Fullmetal Alchemist,finished,https://media.kitsu.io/manga/poster_images/10022/large.jpg?1434271106,35,7,82.95,16657,"Somewhere between magic, art and science exists a world of alchemy. And into this world travel Edward and Alphonse Elric—two brothers in search of the Philosopher's Stone, the ultimate alchemical treasure!

(Source: VIZ Media)","['comedy', 'mystery', 'supernatural', 'psychological', 'historical', 'drama', 'action', 'adventure']"
,,,,,,,,
Dr. Stone,ongoing,https://media.kitsu.io/manga/poster_images/38860/large.jpg?1597699338,,,82.94,9203,"One day Ooki Taiju builds his courage to confesses to Yuzuriha, the girl he loves, when the sky is filled with a strange light. Everyone touched by that light is turned to stone. After thousands of years trapped in stone, he breaks out of his shell and starts to explore the world until he finds his old friend Senku, who was freed from his stone state half a year ago.

Taiju and Senku decide to team up and bring back the now lost human civilization, starting by investigating the true nature of the light that turned them all to stone thousands of years ago and how to fix the situation.

(Source: MU)","['sci-fi', 'adventure']"
,,,,,,,,
Kamisama Hajimemashita,finished,https://media.kitsu.io/manga/poster_images/16640/large.jpg?1491378382,154,25,82.93,16704,"Nanami Momozono is alone and homeless after her dad skips town to evade his gambling debts and the debt collectors kick her out of her apartment.  So when a man she's just saved from a dog offers her his home, she jumps at the opportunity. But it turns out that his place is a shrine, and Nanami has unwittingly taken over his job as a local deity!

Nanami has all kinda of new responsibilities she doesn't understand, dangers she's unaware of, and a cranky ex-familiar who's...actually pretty hot. What's a new-fledged godling to do?

(Source: VIZ Media)","['comedy', 'supernatural', 'demons', 'fantasy', 'romance']"
,,,,,,,,
Mob Psycho 100,finished,https://media.kitsu.io/manga/poster_images/25358/large.jpg?1500790907,101,16,82.91,11874,"Kageyama Shigeo (a.k.a. ""Mob"") is a 8th grader with psychic abilities. He could bend spoons and lift objects with his mind from a young age, but he slowly began to withhold from using his abilities in public due to the negative attention he kept receiving. Now, the only thing he wants is to become friends with a girl in his class, Tsubomi. With his psychic ""mentor"" (who has no psychic powers), he continues his daily life, attempting to realize his purpose in life. 

(Source: MangaHelpers)","['comedy', 'supernatural', 'slice-of-life', 'action']"
,,,,,,,,
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,ongoing,https://media.kitsu.io/manga/poster_images/35896/large.jpg?1494629696,,0,82.87,11660,"Two prideful geniuses locked in battle. Who will make the first misstep and in doing so…confess their love?

Kaguya Shinomiya and Miyuki Shirogane are two geniuses who stand atop their prestigious academy's student council, making them the elite among elite. But it's lonely at the top and each has fallen for the other. There's just one huge problem standing in the way of lovey-dovey bliss—they're both too prideful to be the first to confess their romantic feelings and thus become the “loser” in the competition of love! And so begins their daily schemes to force the other to confess first!

(Source: Viz Media)","['comedy', 'psychological', 'school', 'romance']"
,,,,,,,,
Cherry Blossoms After Winter,ongoing,https://media.kitsu.io/manga/poster_images/40349/large.jpg?1510986466,,,82.86,3877,"From living under the same roof to then being classmates?!

Ever since his parents passed away, Haebom has been living in Taesung’s house. And now, being a 12th grader, he enters the same class as Taesung, which makes the whole situation way more awkward. Living together 24/7, Taesung and Haebom's relationship is bound to change.

(Source: MU)",['none']
,,,,,,,,
Sai x Ai,finished,https://media.kitsu.io/manga/poster_images/2763/large.jpg?1434255229,9,2,82.82,339,"She loved a teacher. But that kind of love is forbidden! Still she kept love him, and didn't care about it. One day, she met a boy in white clothes in the greenhouse of the school. She saw his kind eyes and she smelled the scent of wood coming from him. For the first time, Tsugumi felt her heart beating for someone. But after that encounter she understood that this guy was her teacher...!!
(Source: Chibi Manga)","['school', 'shoujo-ai', 'romance']"
,,,,,,,,
JoJo's Bizarre Adventure Part 7: Steel Ball Run,finished,https://media.kitsu.io/manga/poster_images/3625/large.jpg?1466643614,95,24,82.77,8590,"Originally presented as an unrelated story, this series was later officially declared a part of the JoJo storyline. The series stars Gyro Zeppeli, who uses a set of steel balls that spin incredibly fast, and Johnny Joestar (Jonathan Joestar), a former hot-shot jockey who was crippled by an ambusher and lost his fame and fortune. They race, along with others, in a mad-dash across America for 50 million dollars, reminiscent of The Cannonball Run.

(Source: Wikipedia)","['mystery', 'supernatural', 'thriller', 'historical', 'horror', 'action', 'adventure']"
,,,,,,,,
